>>L<<Russian	>>L<<English
Сияющий шпиль	Shining Spire
Воспрявших	Arisen
воинов распада	Warriors of Decay
Стая крысолюдов	Ratman Pack
кровавых мотыльков	Blood Butterflies
Ночных Теней	Nightshades
ночных охотников	Nocturnal Hunters
Менторий	Mentorium
Цех туннелепроходчиков	Driller Guild
Сила	Strength
Броня	Armor
Воин	Unit
тайла	tile
неутомим	tireless
Зачарованные стрелы	Enchanted Arrows
страж	sentinel
Стойкий разум	Strong Mind
дальность призыва	summoning range
Теневой вор	Shadow Thief
Вызов ловчего	Summon Stalker
Вызов Светоча	Summon Luminary
Призвать крысу	Summon Rat
Сильный голод	Severe Hunger
Чёрный голод	Dark Hunger
Стихийный дух	Elemental Spirit
Древо Ушедших	Tree of the Departed
ящера-стрелка	Lizard Archer
Культист Хаоса	Chaos Cultist
Оружие Вотула	Votul's Weapon
Оберег Вотула	Votul's Talisman
Вечный ментор	Eternal Mentor
Калечащий выстрел	Crippling Shot
Неодолимая сила	Overwhelming Force
Оглушающий выстрел	Stunning Shot
Искусный дипломат	Skillful Diplomat
Алчущего Тьмы	Darkness Craver
Обжигающая атака	Burning Attack
Цепная молния	Chain Lightning
Мощный выстрел	Powerful Shot
Тёмное восполнение	Dark Replenishmant
Огненный взрыв	Fireblast
Огненный выстрел	Fire Shot
Огненный шторм	Fire Storm
святым воителем	Paragon of Light
Сон	Sleep
Галлюцинации	Hallucinations
Ментальный раб	Enslave Mind
Массовый сон	Mass Sleep
Вопль баньши	Banshee's Howl
Паралич	Paralyze
Знак Аксий	Axii Sign
Целебный сон	Healing Sleep
Кошмар	Nightmare
Помутнение разума	Confusion
Яростный рёв	Fierce Roar
бестелесным	incorporeal
Чёрная магия	Black Magic
Порча	Corruption
Тёмная сталь	Dark Steel
Кровавый ритуал	Blood Ritual
Прах Смерти	Death Ashes
Военную школу	War School
Фабрику чумных пушек	Plague Gun Factory
Лабораторию Искателей	Seeker Laboratory
Тайную библиотеку	Secret Library
Рывок	Dash
Великую кузню	Great Forge
Острое оружие	Wounding Strike
воина Мрака	Warrior of Darkness
Гниющие раны	Festering Wounds
Пылающий меч	Flaming Sword
Сменить оружие	Switch Weapon
Сменить снаряды	Switch Ammo
Круг	Circle
Школа	School
Волшебство	Wizardry
Замедление	Slow
Замедление	Slowed
Ускорение	Haste
Благословение	Bless
Адский портал	Hellgates
Природная магия	Natural Magic
Магия Тени	Shadow Magic
Техномагия	Technomagic
Магия Первоэлементов	Elemental Magic
Молитвы	Prayers
Тёмное опустошение	Dark Depletion
Лордов Хаоса	Chaos Lords
значительно	significantly
Самопожертвование	Self-Sacrifice
Некро-всплеск	Necrosurge
Силу призыва	Summoning Power
Баллиста Древних	Ancient Ballista
Воин Распада	Warrior of Decay
Земли альваров	Alvari Lands
Пустоши алкари	Alkari Expanse
Бешенство	Frenzy
Прилив сил	Surge of Strength
Жизнеотбор	Life Leech
Устрашающий выстрел	Intimidating Shot
Острые стрелы	Wounding Shot
Астральные снаряды	Astral Ammo
Взрывное оружие	Explosive Weapon
Острые шипы	Wounding Spikes
Снайперский выстрел	Sniper Shot
Пылающие стрелы	Flaming Arrows
Деревня	Village
Село	Large Village
Большой город	Large City
Страж Тьмы	Guardian of Darkness
Кристалл Тьмы	Dark Crystal
Миртум	Myrthum
Жузрухх	Zhuzrukh
Щит земли	Earth Shield
Усмирение духов	Soothe Spirits
Кровь орды	Tribe's Blood
Демонический вой	Demonic Howl
Инфернальный вой	Infernal Howl
Кровавое безумие	Blood Frenzy
Безумная ярость	Manic Rage
Способность	Ability
стоптать	trample
типа	type
гниения ран	Rotting Wounds
вызван	summoned
увеличивать	increase
уменьшать	decrease
Боевое безумие	Battle Frenzy
Ящер-заклинатель	Lizardman-warlock
Плеть Хаоса	Scourge of Chaos
Наследие Хаоса	Legacy of Chaos
Хаоса	of Chaos
Палатка шамана	Shaman Tent
Шатёр	Pavilion
Позволяет	Allows
нанимать	hire
нанимать	recruit
Палатка	Tent
гнев	rage
Первобытный гнев	Primal Rage
Искушение Хаоса	Temptation of Chaos
чародей	wizard
чародея	of the wizard
магазин	store
Рубака	Cleaver
убивать	kill
Мучитель	Tormenter
Воин стаи	Pack Warrior
Тиран	Tyrant
Пожиратель	Devourer
недомогание	Distress
Удар	Strike
Земли	Earth
Огня	Fire
Крови	Blood
дух	Ghost
дух	Spirit
Живучесть	Vitality
вызываемых	summoned
пересмешника	mocker
Тёмное превосходство	Dark Dominion
превосходство	dominion
Мародёрство	Marauding
нежити	Undead
Умения	Skill
клинок	Blade
Пылающий	Flaming
Не действует на	Has no effect on
существо	creature
оружие	weapon
противник	enemy
Артиллерия	Artillery
культист	Cultist
Действует только на	Only works on
альвар	Alvar
парящих	floating
Броня веры	Armor of Faith
вера	faith
цели	target
призыва	summon
а также	as well as
Освободившись	Once released
командующ	commander
чёрта	fiend
чертями	fiend
кадавра	Cadaver
Неназываемый	the Unspeakable
Бушующее пламя	Raging Flame
Порождения	spawn
Невосприимчиво	Immune
принести в жертву	sacrificed
медалями	medals
Хозяин	Master
служить	serve
плоть	flesh
разумных	sentient
Человеческие	Human
оплата	payment
охраной	guards
отказ	refusal
скидкой	discount
успешные	successful
переговоры	negotiations
неудача	failure
мелкая	small
взятка	bribe
торги	negotiate
неудачный	unsuccessful
подкуп	bribe
с	with
Видящий духов	Ghost Whisperer
карма	karma
лук	bow
пир	feast
Отродье	Abomination
Астральная	Astral
Боевые 	battle
снаряд	ammo
растут	increases
растут	grows
Ядовитый	Poison
Рой	swarm
шершней	hornets
Зуд	Itch
Зачарованное	enchanted
Обездвиживает	immobilizes
вражеское	enemy
дружественное	friendly
дружественное	ally
существенно	significantly
сильно	heavily
Переносчик	Carrier
Чахотка	Atrophy
Рассадник	Hotbed
Экспедиция	Expedition
Бараки	Barracks
Долина	Valley
Земли	Lands
Край	Country
поля	Fields
Карликов	Dwarven
Карликовый	Dwarven
кряж	Range
Гряда	Ridge
Хинт	Hint
Тройное лезвие	Triple Blade
Усиление чар	Improved Charm
Обессиливание	Fatigue
Погибель нечестивых 	Wicked's Bane
Установить	Set
Общее 	Mass
Врата	Gates
орла	Eagle
Вечное рабство	Eternal Slave
Прожорливость	Voracity
ценности	valuables
Ценные	valuables
Не	Not
шкатулку	jewelry box
теперь	now
разница	difference
проказу	leprosy
Заклятье	Spell
Улей	Hive
Перехват	Interception
Уклонение 	Dodge
Чумы	of Plague
Чудес	of Miracles
вызывать	cast
Раскола	the Sundering
Повелитель тварей	Beast Master
низина	Lowland
единица	one
Переваривание	Digestion
родовой провинции	capital
Загонщик	Beater
Чемпион Топей	Bog Champion
Воин Топей	Bog Warrior
Шепчущий	Whisperer
Шипящий	Hisser
Повелитель Распада	Master of Decay
Сады	Gardens
пилорама	Sawmill
медиум	Medium
Звёзд	Star
Защита Леса 	Forest Protection
Могущество Леса	Forest Might
выбор	decision
развития	upgrade
Путь	Path
избрал	chose
Стойкости	Tenacity
запас выстрелов	ammo
увеличены	increased
снижена	decreased
Духовная связь	Spiritual Link
наносящее	dealing
урон	damage
Грунс	Grunas
Ругару	Rugaru
ближнем бою	melee
странник	Wanderer
Небесная броня	Heavenly Armor
Гиппогриф	Hippogryph
Проклятая броня	Cursed Armor
защите	Defense
поле боя	battlefield
Ифрит	Ifrit
вокруг	nearby
Мощь	Might
квазит	Quasit
Наяда	Naiad
направляемых караванов	trade caravans
ветра	Wind
Обгоняющий	Eclipser
Рокот	Roar
восстановит	recover
племя	Tribe
Двойной удар	Double Strike
Исток	Source
Содержание	Upkeep
не используется	Not Used
Обладает навыками	Possesses the skills
